DNA Tube ID	Specimen ID	Extracted	Extracted By	Finclip Completely Used	Genome Sequenced (y/n)	on Scicore	second file	Species ID	Sex	Morph	Whole Specimen	Date (YYYY.MM.DD)	Standard Length (cm)	Total Length (cm)	Weight (g)	location
LNE1	S_LNE1							Gnapfe	F			2016.08.22	5.6	7.0	4.7	Toby's Place
IRE3	S_IRE3	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IRE3		Xensin	F		S_IRE3	2014.08.25	8.4	10.4	12.1	Ndole bay harbor
IRE4	S_IRE4							Xensin	NA		S_IRE4	2014.08.25	8.4	10.3	12.4	Ndole bay harbor
IRE5	S_IRE5							Ectdes	M		S_IRE5	2014.08.25	8.1	10.1	10.0	Ndole bay harbor
IRE6	S_IRE6							Ectdes	F		S_IRE6	2014.08.25	8.4	10.9	12.4	Ndole bay harbor
IRE7	S_IRE7							Ectdes	M		S_IRE7	2014.08.25	7.8	9.9	10.0	Ndole bay harbor
IRE8	S_IRE8							Ectdes	F		S_IRE8	2014.08.25	7.4	9.4	8.7	Ndole bay harbor
IRE9	S_IRE9							Ectdes	F		S_IRE9	2014.08.25	7.5	9.5	8.9	Ndole bay harbor
IRF1	S_IRF1							Ectdes	F		S_IRF1	2014.08.25	7.0	8.7	7.0	Ndole bay harbor
IRF2	S_IRF2							Ectdes	F		S_IRF2	2014.08.25	7.2	9.1	8.0	Ndole bay harbor
IRF3	S_IRF3							Ectdes	F		S_IRF3	2014.08.25	7.1	8.6	7.3	Ndole bay harbor
IRF4	S_IRF4							Ectdes	M		S_IRF4	2014.08.25	6.7	8.3	6.0	Ndole bay harbor
IRF5	S_IRF5							Ectdes	F		S_IRF5	2014.08.25	7.8	9.6	7.0	Ndole bay harbor
LJB4	S_LJB4							Xensin	M		S_LJB4	2015.11.12	9.4	11.7	15.1	Ndole bay harbor
LJB5	S_LJB5							Xensin	M		S_LJB5	2015.11.12	9.5	11.8	16.4	Ndole bay harbor
LJB6	S_LJB6							Xensin	M		S_LJB6	2015.11.12	8.7	10.8	13.7	Ndole bay harbor
LJB7	S_LJB7							Xensin	M		S_LJB7	2015.11.12	8.8	11.0	14.2	Ndole bay harbor
LJB8	S_LJB8							Xensin	F		S_LJB8	2015.11.12	8.4	10.5	11.9	Ndole bay harbor
LJB9	S_LJB9							Xensin	F		S_LJB9	2015.11.12	8.5	10.6	11.7	Ndole bay harbor
IRD2	S_IRD2							Xchhec	NA		S_IRD2	2014.08.25	17.3	21.5	113.8	Ndole Fishermen
IRD3	S_IRD3							Xchhec	NA		S_IRD3	2014.08.25	18.2	22.4	122.6	Ndole Fishermen
IRD4	S_IRD4							Gralem	F		S_IRD4	2014.08.25	20.6	25.8	122.3	Ndole Fishermen
IRD5	S_IRD5							Lepcun	M		S_IRD5	2014.08.25	19.2	22.7	135.4	Ndole Fishermen
IRD6	S_IRD6							Lepcun	NA		S_IRD6	2014.08.25	14.6	17.4	55.9	Ndole Fishermen
IWF3	S_IWF3							Lchaur	NA		S_IWF3	2014.08.28	7.9	9.9	12.8	Ndole Fishermen
IWG6	S_IWG6							Gralem	NA		S_IWG6	2014.08.28	15.5	19.3	62.6	Ndole Fishermen
IWG7	S_IWG7							Lepcun	NA		S_IWG7	2014.08.28	17.4	21.0	95.8	Ndole Fishermen
LCD6	S_LCD6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCD6		Batfer	M		S_LCD6	2015.07.02	13.1	15.9	33.4	Nganja
LNE5	S_LNE5							Cyplep	F			2016.08.22	7.6	9.4	6.8	Toby's Place
LCD7	S_LCD7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCD7		Batfer	F		S_LCD7	2015.07.02	13.7	16.9	38.3	Nganja
LCD8	S_LCD8							Batfer	M		S_LCD8	2015.07.02	12.7	15.8	31.8	Nganja
LCD9	S_LCD9							Batfer	F		S_LCD9	2015.07.02	13.8	16.7	42.6	Nganja
LCE1	S_LCE1							Batfer	M		S_LCE1	2015.07.02	13.6	16.5	36.0	Nganja
LCE2	S_LCE2							Batfer	F		S_LCE2	2015.07.02	14.8	17.9	46.8	Nganja
LCE3	S_LCE3							Batfer	F		S_LCE3	2015.07.02	14.4	17.5	45.9	Nganja
LCE4	S_LCE4							Batfer	F		S_LCE4	2015.07.02	12.3	15.0	28.1	Nganja
LCE5	S_LCE5							Batfer	M		S_LCE5	2015.07.02	12.4	15.0	27.6	Nganja
LCE6	S_LCE6							Batfer	NA		S_LCE6	2015.07.02	11.4	14.1	23.8	Nganja
LCE7	S_LCE7							Petred	F		S_LCE7	2015.07.02	13.4	16.8	68.1	Nganja
LCE8	S_LCE8							Petred	F		S_LCE8	2015.07.02	12.9	16.3	76.9	Nganja
LCE9	S_LCE9							Petred	M		S_LCE9	2015.07.02	17.2	21.7	159.5	Nganja
LCF1	S_LCF1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCF1		Trokir	M		S_LCF1	2015.07.02	8.2	10.4	20.7	Nganja
LCF2	S_LCF2							Trokir	M		S_LCF2	2015.07.02	8.2	10.5	20.6	Nganja
LCF3	S_LCF3	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCF3		Trokir	F		S_LCF3	2015.07.02	8.3	10.2	21.0	Nganja
LCF4	S_LCF4							Trokir	F		S_LCF4	2015.07.02	7.7	9.6	15.9	Nganja
LCF5	S_LCF5							Trokir	M		S_LCF5	2015.07.02	7.4	9.4	17.2	Nganja
LCF6	S_LCF6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCF6		Petmos	M		S_LCF6	2015.07.02	16.6	21.1	147.5	Nganja
LCF7	S_LCF7							Petmos	M		S_LCF7	2015.07.02	14.2	18.3	87.1	Nganja
LCF8	S_LCF8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LCF8		Petmos	F		S_LCF8	2015.07.02	15.9	19.7	119.3	Nganja
LCF9	S_LCF9							Petmos	F		S_LCF9	2015.07.02	16.2	19.9	123.0	Nganja
LCG1	S_LCG1							Petmos	M		S_LCG1	2015.07.02	12.4	15.4	54.7	Nganja
LCG2	S_LCG2							Petmos	F		S_LCG2	2015.07.02	15.6	19.2	108.9	Nganja
LCG3	S_LCG3							Petmos	F		S_LCG3	2015.07.02	15.3	18.9	109.5	Nganja
LCG4	S_LCG4							Petmos	F		S_LCG4	2015.07.02	13.9	17.0	88.6	Nganja
LCG5	S_LCG5							Petmos	F		S_LCG5	2015.07.02	14.8	18.6	104.1	Nganja
LCG6	S_LCG6							Petmos	F		S_LCG6	2015.07.02	16.0	19.9	121.6	Nganja
LEF2	S_LEF2	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LEF2_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LEF2_B	BenhoM	M		S_LEF2	2015.07.02	16.2	26.5	61.7	Nganja
LEF3	S_LEF3							Trokir	M		S_LEF3	2015.07.02	10.1	12.8	34.8	Nganja
LEF4	S_LEF4							Trokir	M		S_LEF4	2015.07.02	8.8	11.2	24.9	Nganja
LEF5	S_LEF5							Trokir	F		S_LEF5	2015.07.02	7.8	9.8	18.0	Nganja
LNE6	S_LNE6							Perecc			S_LNE6	2016.08.22	13.3	16.6	47.7	Toby's Place
LEF6	S_LEF6							Trokir	M		S_LEF6	2015.07.02	8.8	10.9	24.8	Nganja
LEF7	S_LEF7							Trokir	F		S_LEF7	2015.07.02	7.4	9.1	14.5	Nganja
QJA3	S_QJA3							Neoleu	F			2017.02.05	5.3	6.4	2.6	Myako
LFH6	S_LFH6							Pettex	M		S_LFH6	2015.08.17	21.6	25.9		Nkondwe
LFH7	S_LFH7							Pettex	M		S_LFH7	2015.08.17	21.5	25.8		Nkondwe
LFH8	S_LFH8							Julmrk	F		S_LFH8	2015.08.17	7.9	9.4	8.8	Nkondwe
LFH9	S_LFH9							TrobrK	F		S_LFH9	2015.08.17	8.4	10.3	23.3	Nkondwe
LFI1	S_LFI1							TrobrK	M		S_LFI1	2015.08.17	8.6	10.8	24.4	Nkondwe
LFI2	S_LFI2							Pettex	M		S_LFI2	2015.08.17	20.2	23.9	239.0	Nkondwe
LFI3	S_LFI3							Pettex	M		S_LFI3	2015.08.17	16.3	19.7	141.0	Nkondwe
LFI4	S_LFI4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LFI4		Ophboo	M		S_LFI4	2015.08.17	10.3	13.1	24.6	Nkondwe
KHE6	S_KHE6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_KHE6		JulreK	M			2015.06.23	7.8	9.4	9.2	Nondwa Point
LFI5	S_LFI5							Ophboo	M		S_LFI5	2015.08.17	9.8	12.7	23.1	Nkondwe
LFI6	S_LFI6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LFI6		Ophboo	F		S_LFI6	2015.08.17	8.5	10.5	12.0	Nkondwe
LFI7	S_LFI7							Ophboo	F		S_LFI7	2015.08.17	7.9	10.1	12.0	Nkondwe
LFI8	S_LFI8							Ophboo	M		S_LFI8	2015.08.17	9.2	12.0	19.3	Nkondwe
LFI9	S_LFI9							Ophboo	M		S_LFI9	2015.08.17	10.0	12.7	24.4	Nkondwe
LGA1	S_LGA1							Ophboo	M		S_LGA1	2015.08.17	8.6	11.1	15.5	Nkondwe
LGA2	S_LGA2							Ophboo	M		S_LGA2	2015.08.17	9.2	11.1	17.1	Nkondwe
LGA3	S_LGA3							Ophboo	F		S_LGA3	2015.08.17	7.9	10.1	12.2	Nkondwe
LGA4	S_LGA4							Ophboo	F		S_LGA4	2015.08.17	8.4	10.4	12.1	Nkondwe
LGA5	S_LGA5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LGA5		TrobrK	M		S_LGA5	2015.08.17	10.4	12.6	38.8	Nkondwe
LGA6	S_LGA6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LGA6		TrobrK	F		S_LGA6	2015.08.17	6.9	8.3	11.9	Nkondwe
LGA7	S_LGA7							TrobrK	F		S_LGA7	2015.08.17	9.4	11.3	28.3	Nkondwe
LGA8	S_LGA8							TrobrK	F		S_LGA8	2015.08.17	9.3	11.2	29.2	Nkondwe
IYH6	S_IYH6							TelteS	NA		S_IYH6	2014.07.29	6.7	7.7	7.9	Toby's Place
LGA9	S_LGA9							TrobrK	F		S_LGA9	2015.08.17	9.5	11.5	29.0	Nkondwe
LGB1	S_LGB1							TrobrK	M		S_LGB1	2015.08.17	10.0	12.1	36.6	Nkondwe
LGB2	S_LGB2							TrobrK	M		S_LGB2	2015.08.17	10.7	12.9	42.3	Nkondwe
LGB3	S_LGB3							TrobrK	F		S_LGB3	2015.08.17	9.7	12.0	36.2	Nkondwe
LGB4	S_LGB4							Petkip	F		S_LGB4	2015.08.17	11.0	13.5	46.0	Nkondwe
LGB5	S_LGB5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LGB5		Petrai	M		S_LGB5	2015.08.17	17.8	22.3	206.0	Nkondwe
LGB6	S_LGB6							Petrai	M		S_LGB6	2015.08.17	18.3	22.2	199.0	Nkondwe
LGB7	S_LGB7							Petrai	M		S_LGB7	2015.08.17	16.4	19.8	142.0	Nkondwe
LGB8	S_LGB8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LGB8		Petrai	F		S_LGB8	2015.08.17	15.7	19.4	138.0	Nkondwe
LGB9	S_LGB9							Petrai	M		S_LGB9	2015.08.17	14.3	17.6	99.0	Nkondwe
LGC1	S_LGC1							Petrai	M		S_LGC1	2015.08.17	16.8	20.6	161.0	Nkondwe
LGC2	S_LGC2							Petrai	F		S_LGC2	2015.08.17	15.6	19.3	135.0	Nkondwe
LGC3	S_LGC3							Petrai	M		S_LGC3	2015.08.17	18.5	22.6	211.0	Nkondwe
LGC4	S_LGC4							Petrai	M		S_LGC4	2015.08.17	17.2	20.8	170.0	Nkondwe
LGC5	S_LGC5							Petrai	F		S_LGC5	2015.08.17	14.4	17.4	96.0	Nkondwe
KHE7	S_KHE7							JulreK	F		S_KHE7	2015.06.23	9.1	10.9	13.0	Nondwa Point
KHE8	S_KHE8							JulreK	F		S_KHE8	2015.06.23	7.9	9.5	9.4	Nondwa Point
KHE9	S_KHE9							JulreK	F		S_KHE9	2015.06.23	8.0	9.5	9.1	Nondwa Point
KHF1	S_KHF1							JulreK	F		S_KHF1	2015.06.23	9.2	11.0	12.4	Nondwa Point
KHF2	S_KHF2							JulreK	F		S_KHF2	2015.06.23	8.8	10.2	12.2	Nondwa Point
KHF3	S_KHF3							JulreK	F		S_KHF3	2015.06.23	7.1	8.5	6.8	Nondwa Point
KHF4	S_KHF4							Trodub	F			2015.06.23	8.3	9.9	19.2	Nondwa Point
KHF5	S_KHF5							Trodub	M			2015.06.23	8.7	10.5	23.1	Nondwa Point
KHF6	S_KHF6							Trodub	F		S_KHF6	2015.06.23	10.1	12.6	35.2	Nondwa Point
KHF7	S_KHF7							Trodub	F		S_KHF7	2015.06.23	9.4	11.9	32.0	Nondwa Point
KHF8	S_KHF8							Trodub	F		S_KHF8	2015.06.23	9.0	11.2	27.3	Nondwa Point
KHF9	S_KHF9							Trodub	M		S_KHF9	2015.06.23	10.8	13.3	44.0	Nondwa Point
KHG1	S_KHG1							Trodub	M		S_KHG1	2015.06.23	10.3	12.6	37.4	Nondwa Point
KHI1	S_KHI1							Cphfro	M		S_KHI1	2015.06.23	12.7	15.4	63.8	Nondwa Point
KHI2	S_KHI2							Cphfro	M		S_KHI2	2015.06.23	17.0	20.7	154.0	Nondwa Point
KYA1	S_KYA1	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_KYA1		Neonig	M		S_KYA1	2015.07.10	5.8	7.1	3.7	Nondwa Point
KYA2	S_KYA2							Neonig	M		S_KYA2	2015.07.10	5.4	6.8	3.9	Nondwa Point
KYB2	S_KYB2							Telbif	M		S_KYB2	2015.07.12	2.9	3.3	0.2	Nondwa Point
KYB3	S_KYB3							Telbif	M		S_KYB3	2015.07.12	2.7	3.1	0.2	Nondwa Point
KYB4	S_KYB4							Cphfro	F		S_KYB4	2015.07.12	14.5	17.5	87.9	Nondwa Point
KYB5	S_KYB5							Cphfro	F		S_KYB5	2015.07.12	11.7	14.2	46.4	Nondwa Point
KYB6	S_KYB6							Cphfro	F		S_KYB6	2015.07.12	12.1	14.9	57.1	Nondwa Point
KYB7	S_KYB7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_KYB7		Telbif	M			2015.07.12				Nondwa Point
KYB8	S_KYB8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_KYB8		Telbif	F			2015.07.12	2.7	3.2	0.2	Nondwa Point
LEI6	S_LEI6	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LEI6		Cphfro	F		S_LEI6	2015.07.10	14.0	17.0	78.2	Nondwa Point
LEI7	S_LEI7							Cphfro	F		S_LEI7	2015.07.10	14.1	17.4	77.0	Nondwa Point
LEI8	S_LEI8							Cphfro	F		S_LEI8	2015.07.10	13.2	15.7	60.2	Nondwa Point
LEI9	S_LEI9	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_LEI9		Cphfro	M		S_LEI9	2015.07.10	8.8	10.5	19.9	Nondwa Point
IOB4	S_IOB4							Lamoce	M		S_IOB4	2014.08.23	4.8	5.6	2.3	Ntingila
IVB1	S_IVB1							Enamel	M		S_IVB1	2014.08.25	13.2	15.7	27.6	Ntingila
IVB2	S_IVB2							Enamel	M		S_IVB2	2014.08.25	13.4	16.1	26.4	Ntingila
IVB3	S_IVB3							Xenbat	M			2014.08.25	7.7	9.5	7.4	Ntingila
IVB4	S_IVB4	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IVB4		Xenbat	M			2014.08.25	8.1	9.6	8.7	Ntingila
IVB5	S_IVB5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IVB5		Xenbat	F			2014.08.25	7.6	9.3	6.3	Ntingila
IVB6	S_IVB6							Xenbat	M		S_IVB6	2014.08.25	7.6	9.4	7.5	Ntingila
IVB7	S_IVB7							Xenbat	M		S_IVB7	2014.08.25	7.6	9.4	8.3	Ntingila
IVB8	S_IVB8							Xenbat	NA		S_IVB8	2014.08.25	7.6	9.5	7.8	Ntingila
IVB9	S_IVB9							Xenbat	NA		S_IVB9	2014.08.25	7.4	9.3	7.5	Ntingila
IVC1	S_IVC1							Xenbat	M		S_IVC1	2014.08.25	8.1	10.1	8.4	Ntingila
IVC2	S_IVC2							Xenbat	NA		S_IVC2	2014.08.25	7.3	9.0	6.7	Ntingila
IVC3	S_IVC3							Xenbat	NA		S_IVC3	2014.08.25	6.7	8.2	4.7	Ntingila
IVC4	S_IVC4							Xenbat	F		S_IVC4	2014.08.25	7.2	8.9	6.8	Ntingila
IVC5	S_IVC5							Xenbat	NA		S_IVC5	2014.08.25	6.9	8.4	4.9	Ntingila
IVC6	S_IVC6							Xenbat	NA		S_IVC6	2014.08.25	6.6	8.1	4.4	Ntingila
IVC7	S_IVC7							Xenbat	NA		S_IVC7	2014.08.25	7.2	8.9	5.7	Ntingila
IVC8	S_IVC8							Lepcun	NA		S_IVC8	2014.08.25	11.6	13.8	28.3	Ntingila
IVC9	S_IVC9							Lepcun	NA		S_IVC9	2014.08.25	9.9	11.6	18.1	Ntingila
IVD1	S_IVD1							Lepcun	NA		S_IVD1	2014.08.25	10.1	12.0	18.4	Ntingila
IVD2	S_IVD2							Lepcun	NA		S_IVD2	2014.08.25	9.7	11.6	16.5	Ntingila
IVD3	S_IVD3							Lepcun	NA		S_IVD3	2014.08.25	9.9	11.9	19.4	Ntingila
IVD4	S_IVD4							Lepcun	NA		S_IVD4	2014.08.25	9.3	11.1	14.2	Ntingila
IVD5	S_IVD5							Julreg	NA		S_IVD5	2014.08.25	7.7	9.4	9.5	Ntingila
IVD6	S_IVD6							Julreg	NA		S_IVD6	2014.08.25	8.1	9.5	10.5	Ntingila
IVD7	S_IVD7							Julreg	M			2014.08.25	5.7	6.6	3.6	Ntingila
IVD8	S_IVD8							Juldic	NA		S_IVD8	2014.08.25	7.3	8.6	7.6	Ntingila
IVD9	S_IVD9							Juldic	NA		S_IVD9	2014.08.25	6.7	8.0	6.6	Ntingila
IVE1	S_IVE1							Juldic	NA		S_IVE1	2014.08.25	6.9	8.2	6.3	Ntingila
IVE2	S_IVE2							Juldic	NA		S_IVE2	2014.08.25	5.9	6.7	3.9	Ntingila
IVE3	S_IVE3							Juldic	NA		S_IVE3	2014.08.25	6.1	7.0	4.5	Ntingila
IVE4	S_IVE4							Lamoce	NA		S_IVE4	2014.08.25	3.8	4.4	1.4	Ntingila
IVE5	S_IVE5							LamorS	NA		S_IVE5	2014.08.25	5.0	6.0	2.4	Ntingila
IVE6	S_IVE6							LamorS	NA		S_IVE6	2014.08.25	5.1	6.1	2.5	Ntingila
IVE7	S_IVE7							LamorS	NA		S_IVE7	2014.08.25	5.1	6.1	2.5	Ntingila
IWD7	S_IWD7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IWD7		Cunlon	M			2014.08.27	10.4	13.6	34.7	Ntingila
IWD8	S_IWD8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_IWD8		Cunlon	F			2014.08.27	9.1	11.3	19.2	Ntingila
IWD9	S_IWD9							Cunlon	F			2014.08.27	8.6	10.7	16.3	Ntingila
IWE1	S_IWE1							Cunlon	M		S_IWE1	2014.08.27	10.0	13.2	32.2	Ntingila
IWE2	S_IWE2							Cunlon	M		S_IWE2	2014.08.27	10.2	13.1	33.9	Ntingila
IWE3	S_IWE3							Cunlon	M		S_IWE3	2014.08.27	10.1	13.0	32.0	Ntingila
IWE4	S_IWE4							Cunlon	M		S_IWE4	2014.08.27	11.1	14.3	37.5	Ntingila
IWE5	S_IWE5							Cunlon	F		S_IWE5	2014.08.27	9.1	10.6	21.3	Ntingila
IWE6	S_IWE6							Cunlon	F		S_IWE6	2014.08.27	8.4	10.7	16.3	Ntingila
IWE7	S_IWE7							Cunlon	F		S_IWE7	2014.08.27	7.4	9.6	12.2	Ntingila
IWE8	S_IWE8							Cunlon	F		S_IWE8	2014.08.27	7.4	9.5	12.1	Ntingila
IWE9	S_IWE9							Cunlon	F		S_IWE9	2014.08.27	8.6	11.2	17.9	Ntingila
IWF1	S_IWF1							Lchaur	NA		S_IWF1	2014.08.27	7.4	9.1	10.6	Ntingila
IWF2	S_IWF2							Lchaur	NA		S_IWF2	2014.08.27	8.6	10.5	15.7	Ntingila
JYF7	S_JYF7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JYF7		Ophpar	M			2015.01.11	10.3	16.0	23.8	Nyanza Lac
JYF8	S_JYF8							Ophpar	M		S_JYF8	2015.01.11	9.0	12.8	18.0	Nyanza Lac
JYF9	S_JYF9							Ophpar	M		S_JYF9	2015.01.11	9.2	13.3	18.1	Nyanza Lac
JYG1	S_JYG1							Ophpar	M			2015.01.11	9.0	11.5	16.8	Nyanza Lac
JYG2	S_JYG2							Ophpar	M		S_JYG2	2015.01.11	8.9	11.7	16.0	Nyanza Lac
JYG3	S_JYG3							Ophpar	M		S_JYG3	2015.01.11	9.5	12.2	18.1	Nyanza Lac
JYG4	S_JYG4							Ophpar	M		S_JYG4	2015.01.11	10.8	13.2	21.8	Nyanza Lac
JYG5	S_JYG5	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JYG5		Ophpar	F			2015.01.11	6.4	8.1	6.3	Nyanza Lac
JYG6	S_JYG6							Ophpar	M		S_JYG6	2015.01.11	9.9	14.1	19.5	Nyanza Lac
JYG7	S_JYG7							Ophpar	M		S_JYG7	2015.01.11	9.3	13.5	17.2	Nyanza Lac
JYG8	S_JYG8							Ophpar	M		S_JYG8	2015.01.11	9.3	12.5	17.1	Nyanza Lac
JYG9	S_JYG9							Ophpar	F		S_JYG9	2015.01.11	5.0	6.3	2.8	Nyanza Lac
JYH1	S_JYH1							Ophpar	F		S_JYH1	2015.01.11	5.3	6.5	3.1	Nyanza Lac
JYH2	S_JYH2							Ophpar	F			2015.01.11	5.9	7.3	4.3	Nyanza Lac
JYH3	S_JYH3	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JYH3		Tanirs	M			2015.01.11	5.5	6.5	4.3	Nyanza Lac
JYH4	S_JYH4							Tanirs	M		S_JYH4	2015.01.11	5.3	6.4	4.2	Nyanza Lac
JYH5	S_JYH5							Tanirs	M		S_JYH5	2015.01.11	5.3	6.4	3.8	Nyanza Lac
JYH6	S_JYH6							Tanirs	F		S_JYH6	2015.01.11	5.0	6.0	3.5	Nyanza Lac
JYH7	S_JYH7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JYH7		Tanirs	F			2015.01.11	5.2	6.3	4.0	Nyanza Lac
JYH8	S_JYH8							Tanirs	M		S_JYH8	2015.01.11	4.6	5.5	2.8	Nyanza Lac
JYH9	S_JYH9							Tanirs	M		S_JYH9	2015.01.11	4.9	5.8	3.4	Nyanza Lac
JYI1	S_JYI1							Tanirs	F		S_JYI1	2015.01.11	4.7	5.6	3.3	Nyanza Lac
JYI2	S_JYI2							Tanirs	M			2015.01.11	5.3	7.0	5.3	Nyanza Lac
JYI3	S_JYI3							Tanirs	F		S_JYI3	2015.01.11	4.5	5.5	2.8	Nyanza Lac
JYI4	S_JYI4							Tanirs	M		S_JYI4	2015.01.11	5.6	6.7	4.8	Nyanza Lac
JYI5	S_JYI5							Tanirs	M		S_JYI5	2015.01.11	4.4	5.4	2.4	Nyanza Lac
JYI6	S_JYI6							Tanirs	M		S_JYI6	2015.01.11	4.6	5.5	2.7	Nyanza Lac
JYI7	S_JYI7							Tanirs	F			2015.01.11	5.0	6.1	3.7	Nyanza Lac
JYI8	S_JYI8	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JYI8		Trobri	M			2015.01.11	7.7	9.5	16.2	Nyanza Lac
JYI9	S_JYI9							Trobri	NA		S_JYI9	2015.01.11	6.8	8.3	10.6	Nyanza Lac
JZA1	S_JZA1							Trobri	NA		S_JZA1	2015.01.11	6.8	8.3	11.8	Nyanza Lac
JZA2	S_JZA2							Trobri	NA		S_JZA2	2015.01.11	7.3	8.9	14.7	Nyanza Lac
JZA3	S_JZA3	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JZA3		Trobri	F			2015.01.11	5.8	7.1	7.7	Nyanza Lac
JZA4	S_JZA4							Trobri	NA		S_JZA4	2015.01.11	7.2	8.7	14.0	Nyanza Lac
JZA5	S_JZA5							Trobri	NA		S_JZA5	2015.01.11	6.4	7.8	10.8	Nyanza Lac
JZA6	S_JZA6							Trobri	NA		S_JZA6	2015.01.11	7.2	8.6	12.8	Nyanza Lac
JZA7	S_JZA7							Trobri	M			2015.01.11	7.7	9.3	14.4	Nyanza Lac
JZA8	S_JZA8							Trobri	NA		S_JZA8	2015.01.11	6.2	7.4	8.5	Nyanza Lac
JZA9	S_JZA9							Trobri	NA		S_JZA9	2015.01.11	7.0	8.3	9.9	Nyanza Lac
JZB1	S_JZB1							Trobri	NA		S_JZB1	2015.01.11	4.8	6.0	4.3	Nyanza Lac
JZB2	S_JZB2							Trobri	NA		S_JZB2	2015.01.11	6.6	8.0	10.0	Nyanza Lac
JZB3	S_JZB3							Trobri	F			2015.01.11	6.4	7.5	8.5	Nyanza Lac
JZB4	S_JZB4							Spamar	M		S_JZB4	2015.01.11	7.9	9.7	11.9	Nyanza Lac
JZB5	S_JZB5							Spamar	M		S_JZB5	2015.01.11	7.3	9.0	9.3	Nyanza Lac
JZB6	S_JZB6							Spamar	M		S_JZB6	2015.01.11	6.8	8.5	8.4	Nyanza Lac
JZB7	S_JZB7	true	Fabrizia		true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JZB7		Spamar	M			2015.01.11	6.7	8.3	8.2	Nyanza Lac
LBA3	S_LBA3							JulmaS	F		S_LBA3	2015.07.31	8.3	10.0	12.3	Toby's Place
JZB8	S_JZB8							Spamar	M		S_JZB8	2015.01.11	7.3	8.7	8.6	Nyanza Lac
JZB9	S_JZB9							Spamar	F		S_JZB9	2015.01.11	8.3	10.2	13.0	Nyanza Lac
JZC1	S_JZC1							Spamar	M		S_JZC1	2015.01.11	6.6	8.0	7.9	Nyanza Lac
JZC2	S_JZC2							Spamar	F		S_JZC2	2015.01.11	6.2	7.4	5.9	Nyanza Lac
JZC3	S_JZC3							Spamar	F			2015.01.11	5.5	6.7	4.6	Nyanza Lac
JZC4	S_JZC4							Spamar	F		S_JZC4	2015.01.11	5.9	7.2	5.6	Nyanza Lac
JZC5	S_JZC5							Spamar	F		S_JZC5	2015.01.11	7.5	9.3	10.4	Nyanza Lac
JZC6	S_JZC6							Spamar	F		S_JZC6	2015.01.11	5.8	7.0	5.1	Nyanza Lac
JZC7	S_JZC7							Spamar	M			2015.01.11	6.9	8.3	8.1	Nyanza Lac
JZD3	S_JZD3	true	Fabrizia	false	true	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JZD3_A	/scicore/home/boehne/GROUP/genomedata_cichlidX/Sample_JZD3_B	Spamar	F			2015.01.11	5.9	7.0	5.0	Nyanza Lac
